Nested Sampling Global Log-Evidence           :   -0.138124255126588378E+04  +/-    0.529815950121575452E-01
Nested Importance Sampling Global Log-Evidence:   -0.138134639732675896E+04  +/-    0.273987904590258444E-01

Dim No.       Mean        Sigma
   1    0.144520765345439628E+01    0.285390918692080719E+00
   2   -0.349615224001923255E-02    0.719764353205124170E-02
   3    0.776727254955621033E-01    0.653690986732617385E-01
   4   -0.892269499354359841E+00    0.321304065429045216E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.164135951997913043E+01
   2   -0.210718464690978144E-01
   3    0.650010936438518011E-01
   4   -0.106844916949011415E+01

MAP Parameters
Dim No.        Parameter
   1    0.164135951997913043E+01
   2   -0.210718464690978144E-01
   3    0.650010936438518011E-01
   4   -0.106844916949011415E+01
