Nested Sampling Global Log-Evidence           :   -0.176500152371013974E+04  +/-    0.101016875338647921E+00
Nested Importance Sampling Global Log-Evidence:   -0.176491952827751834E+04  +/-    0.111939593296479702E-01

Dim No.       Mean        Sigma
   1    0.133299805029566687E+01    0.284190091537395439E+00
   2    0.998938214725303308E+00    0.289084484241038889E-02
   3    0.100816827231577100E+01    0.173101675993174858E-01
   4    0.994530928006302273E+00    0.329261851899079680E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.134135080210195423E+01
   2    0.998993126967449796E+00
   3    0.100855063348597307E+01
   4    0.994690826716733145E+00

MAP Parameters
Dim No.        Parameter
   1    0.146671156053503093E+01
   2    0.100327070927217488E+01
   3    0.102471670548800375E+01
   4    0.100590009518806967E+01
