Nested Sampling Global Log-Evidence           :   -0.175866425839919793E+04  +/-    0.402398810731742079E-01
Nested Importance Sampling Global Log-Evidence:   -0.175905652149530897E+04  +/-    0.901392724013405817E-02

Dim No.       Mean        Sigma
   1   -0.719277378439784655E-03    0.423931695069150547E-02
   2    0.218994662917737448E+00    0.492854769975204984E-01
   3   -0.365714873226236137E+00    0.314214857823348792E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.799580130637969101E-02
   2    0.253213583049654078E+00
   3   -0.514351228113789194E+00

MAP Parameters
Dim No.        Parameter
   1   -0.141210432393275537E-02
   2    0.220614894540520357E+00
   3    0.602640651931877006E-02
