Nested Sampling Global Log-Evidence           :   -0.110816500599674114E+03  +/-    0.368731362388804093E-01
Nested Importance Sampling Global Log-Evidence:   -0.111210131366512542E+03  +/-    0.854343969284507287E-02

Dim No.       Mean        Sigma
   1    0.388522841602487790E+00    0.138769441253094150E+00
   2    0.214701564517423699E+00    0.119629435155162236E+00
   3    0.613697265626216536E-02    0.994145071681551307E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.325523933493212070E+00
   2    0.263680611878715387E+00
   3   -0.599647883870568665E+00

MAP Parameters
Dim No.        Parameter
   1    0.158792378588022892E+00
   2    0.284080188581024573E+00
   3   -0.786321879569794047E-01
