Nested Sampling Global Log-Evidence           :   -0.175925699562221826E+04  +/-    0.452648341057057674E-01
Nested Importance Sampling Global Log-Evidence:   -0.175962646563315843E+04  +/-    0.871813380244368212E-02

Dim No.       Mean        Sigma
   1   -0.181408545732190778E-02    0.723785661460239847E-02
   2    0.233763236202007590E+00    0.620263713713377143E-01
   3   -0.374254795545021501E+00    0.333306256699168801E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.129933203710995565E-01
   2    0.251283662569299016E+00
   3   -0.401983985469103411E+00

MAP Parameters
Dim No.        Parameter
   1    0.110762676034470496E-02
   2    0.195432044225820334E+00
   3   -0.486058881396443029E-01
