Nested Sampling Global Log-Evidence           :   -0.175935468586212846E+04  +/-    0.459781942747703870E-01
Nested Importance Sampling Global Log-Evidence:   -0.175968521789936062E+04  +/-    0.899667115199388745E-02

Dim No.       Mean        Sigma
   1   -0.183795946978071185E-02    0.739016722452970603E-02
   2    0.234885915922067479E+00    0.632537963320312924E-01
   3   -0.383603360963510220E+00    0.339526813647392900E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.147905160635425168E-01
   2    0.245574237324468231E+00
   3   -0.460897530294036739E+00

MAP Parameters
Dim No.        Parameter
   1   -0.199470944315502316E-01
   2    0.265665856692826496E+00
   3    0.198218537645009352E+00
