Nested Sampling Global Log-Evidence           :   -0.173738551777454472E+04  +/-    0.540691387341805524E-01
Nested Importance Sampling Global Log-Evidence:   -0.173832246554773474E+04  +/-    0.532298650261043074E-01

Dim No.       Mean        Sigma
   1    0.113172249008251802E+01    0.328736848563110085E+00
   2   -0.414932371056983291E-02    0.715868581021914582E-02
   3    0.237163344401516360E-01    0.873758212454113087E-01
   4   -0.905888737102592545E+00    0.540022687454498329E+00
   5    0.523669363151318068E+00    0.201548881049346901E+00
   6    0.690956666090478788E+00    0.133591933712793431E+00
   7    0.389688803031408848E+00    0.172105020470991771E+00
   8    0.470341944585892957E+00    0.734882985993301485E-01
   9    0.691389193226682797E+00    0.559874028661468751E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.124567642364416331E+01
   2   -0.137905658833169971E-01
   3    0.316837045496841316E-01
   4   -0.639430487173471174E+00
   5    0.550871525707312126E+00
   6    0.537624979692845062E+00
   7    0.233871098723651805E+00
   8    0.469392773384445572E+00
   9    0.675070146124701065E+00

MAP Parameters
Dim No.        Parameter
   1    0.124567642364416331E+01
   2   -0.137905658833169971E-01
   3    0.316837045496841316E-01
   4   -0.639430487173471174E+00
   5    0.550871525707312126E+00
   6    0.537624979692845062E+00
   7    0.233871098723651805E+00
   8    0.469392773384445572E+00
   9    0.675070146124701065E+00
