Nested Sampling Global Log-Evidence           :    0.402216638848081303E+02  +/-    0.465745650875179495E-02
Nested Importance Sampling Global Log-Evidence:    0.395202143236203511E+02  +/-    0.131547213830590388E-01

Dim No.       Mean        Sigma
   1    0.137837001674753612E+01    0.829687477768693227E+00
   2   -0.553190745411902295E-03    0.756403816078875073E-02
   3   -0.494672585359894473E-01    0.271382834056187572E+00
   4   -0.121099798910324352E+00    0.935343258627692742E+00
   5    0.492170460756984729E+00    0.284555007176311825E+00
   6    0.510596726211361651E+00    0.282204949046038212E+00
   7    0.488474081187526887E+00    0.284024170511908147E+00
   8    0.489378881914377450E+00    0.279647849650011937E+00
   9    0.517517003284985844E+00    0.284877728769078575E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.543267002992095405E+00
   2   -0.190375462785426358E-01
   3   -0.313629978348069993E+00
   4   -0.133338783038132447E+01
   5    0.231511443082975943E+00
   6    0.723776371903792737E+00
   7    0.697318871474686852E+00
   8    0.329163408957904802E+00
   9    0.575766478869054521E+00

MAP Parameters
Dim No.        Parameter
   1    0.156220632791519165E+01
   2    0.225081018260055816E-02
   3   -0.309682006936877786E-01
   4    0.144008506078298337E+01
   5    0.117859840393066406E+00
   6    0.895565748214721680E-02
   7    0.906448185443878174E+00
   8    0.482482492923736572E+00
   9    0.200145423412322998E+00
